id,final_pred,gold,final_correct,process_has_error,process_wrong_but_answer_correct,wrong_steps_json
train_GSM8K_Q2716,9,9,True,False,False,[]
train_GSM8K_Q7018,400,400,True,False,False,[]
train_GSM8K_Q6175,7,7,True,False,False,[]
train_GSM8K_Q416,78,78,True,False,False,[]
train_GSM8K_Q5992,100,100,True,False,False,[]
test_GSM8K_Q114,25,25,True,False,False,[]
train_GSM8K_Q6932,120,120,True,False,False,[]
train_GSM8K_Q6830,17,17,True,False,False,[]
train_GSM8K_Q6823,5,5,True,True,True,"[""40 pages / 15 pages per 5 minutes = 2.67 minutes per page"", ""40 pages / 15 pages per 3 minutes = 2.67 minutes per page"", ""Total time for Meso and Tyler to type 40 pages = Meso's time + Tyler's time = 5.34 minutes""]"
train_GSM8K_Q4257,720,720,True,False,False,[]
train_GSM8K_Q1265,2520000,2520000,True,False,False,[]
test_GSM8K_Q1106,40,40,True,True,True,"[""Amount Lauren needs to save each month = $100,000 x 0.20 = $20,000"", ""Number of years Lauren needs to work = $200,000 (retirement goal) / $20,000 (monthly savings) = 10 years""]"
train_GSM8K_Q3855,8,8,True,False,False,[]
train_GSM8K_Q1125,14,14,True,True,True,"[""75% of 12 blouses = 9 blouses (since 75% is equal to 9/10)"", ""50% of 6 skirts = 3 skirts (since 50% is equal to 3/5)"", ""25% of 8 slacks = 2 slacks (since 25% is equal to 2/5)""]"
train_GSM8K_Q5511,105,105,True,False,False,[]
train_GSM8K_Q7313,72,72,True,False,False,[]
train_GSM8K_Q6147,5,5,True,True,True,"[""Rick saved half of the cost of the gift (which is $250 - $155 = $100)"", ""Total cost of gift and cake = $250"", ""Amount they have left after buying the gift and cake = $255 - $250 = $5""]"
train_GSM8K_Q477,92,92,True,False,False,[]
test_GSM8K_Q388,36,36,True,False,False,[]
test_GSM8K_Q1101,5,5,True,True,True,"[""Therefore, Bobby's lunches and breaks add up to 1 hour after 5 days.""]"
train_GSM8K_Q2165,18,18,True,False,False,[]
train_GSM8K_Q6840,50,50,True,False,False,[]
train_GSM8K_Q7344,2,2,True,False,False,[]
train_GSM8K_Q2581,200,200,True,True,True,"[""80 oranges / 10 pieces per orange = 800 pieces of orange.""]"
train_GSM8K_Q5566,54,54,True,False,False,[]
test_GSM8K_Q357,21,21,True,True,True,"[""Dean's mother gave him $28, so she gave him: $28 - $17 = $11 more than he spent"", ""Dean had $11 from his mother, plus the $10 she gave him earlier, so he has: $11 + $10 = $21 left""]"
train_GSM8K_Q5278,7,7,True,False,False,[]
test_GSM8K_Q997,3,3,True,True,True,"[""x + 2x + Alessandro's age + Akbar's age = 20"", ""x + 2x + 4 + 3 = 20""]"
train_GSM8K_Q2081,413,413,True,False,False,[]
train_GSM8K_Q1367,55,55,True,False,False,[]
train_GSM8K_Q4741,76,76,True,False,False,[]
test_GSM8K_Q425,570,570,True,False,False,[]
