id,final_pred,gold,final_correct,has_wrong_equation,num_equations_found,examples,process_wrong_but_answer_correct
test_GSM8K_Q33,35,35,True,False,2,"[' 10*0.5 = 5', ' 5*7 = 35']",False
test_GSM8K_Q61,22,17,False,True,2,"[' 24/0.2 = 12', ' 24 - 2 = 22']",False
test_GSM8K_Q62,1430,1430,True,False,0,[],False
test_GSM8K_Q70,60,60,True,False,0,[],False
test_GSM8K_Q75,88,88,True,False,0,[],False
test_GSM8K_Q80,70,70,True,True,1,[' = 0.3'],True
test_GSM8K_Q82,17,17,True,False,4,"[' 10 + 21 = 31', ' 31 + 23 = 54', ' 54 - 9 = 45']",False
test_GSM8K_Q100,40,58,False,False,3,"[' 40*2 = 80', ' 40*1 = 40', ' 80 - 40 = 40']",False
test_GSM8K_Q114,40,25,False,True,5,"[' 2*15 = 30', ' 30 - 5 = 25', ' 250 / 5 = 50']",False
test_GSM8K_Q122,27,27,True,False,5,"[' 5 + 8 = 13', ' 2*5 = 10', ' 8 / 2 = 4']",False
test_GSM8K_Q135,4,720,False,False,0,[],False
test_GSM8K_Q138,80,29,False,False,0,[],False
test_GSM8K_Q161,12,16,False,False,2,"[' 17 + 7 = 24', '\n24 / 2 = 12']",False
test_GSM8K_Q165,15,15,True,False,0,[],False
test_GSM8K_Q167,15,5,False,True,2,"[' = 3', ' = 0.375']",False
test_GSM8K_Q221,210,70,False,True,3,"[' = 10', ' = 100', ' = 210']",False
test_GSM8K_Q234,12,12,True,True,5,"[' = 36', '.\nx = 36', ' / 3 = 12']",True
test_GSM8K_Q236,5,10,False,True,1,[' = 2.5'],False
test_GSM8K_Q238,90,90,True,False,0,[],False
test_GSM8K_Q259,6,6,True,False,0,[],False
test_GSM8K_Q275,3200,3200,True,False,0,[],False
test_GSM8K_Q281,7,7,True,False,0,[],False
test_GSM8K_Q298,65,55,False,True,4,"['.\n120 - 55 = 65', ' = 15', ' + 12 + 18 = 55']",False
test_GSM8K_Q306,4,4,True,True,2,"[' 20 = 16', '\n\n20 - 16 = 4']",True
test_GSM8K_Q313,38,32,False,False,3,"[' 5 + 3 = 8', ' 3 + 8 = 11', ' 30 + 8 = 38']",False
test_GSM8K_Q357,21,21,True,False,0,[],False
test_GSM8K_Q379,15,15,True,False,2,"[' 20 + 15 = 35', '\n50 - 35 = 15']",False
test_GSM8K_Q388,36,36,True,False,0,[],False
test_GSM8K_Q425,526,570,False,True,4,"[' 60*4 = 240', ' 6*6 = 36', ' 10*15 = 150']",False
test_GSM8K_Q456,10,1920,False,True,8,"[' = 8', ' = 2', ' = 2']",False
test_GSM8K_Q463,50,71,False,False,0,[],False
test_GSM8K_Q482,80,84,False,True,5,"[' = 3', ' = 3', ' = 32']",False
test_GSM8K_Q488,1,4,False,True,3,"[' = 10', ' = 50', ' 50/50 = 1']",False
test_GSM8K_Q505,2,2,True,False,0,[],False
test_GSM8K_Q543,0,7,False,False,0,[],False
test_GSM8K_Q554,92,92,True,False,3,"[' 2*24 = 48', ' 70*2 = 140', ' 140 - 48 = 92']",False
test_GSM8K_Q580,100,7,False,True,7,"[' 5 - 3 = 2', ' 5 + 2 = 7', ' 12*8 = 96']",False
test_GSM8K_Q593,1,1,True,False,0,[],False
test_GSM8K_Q617,3,10,False,True,3,"[' 3 = 6', ' 6 + 4 = 10', ' 3 + 6 + 10 = 19']",False
test_GSM8K_Q654,80,80,True,False,0,[],False
test_GSM8K_Q686,14,14,True,False,0,[],False
test_GSM8K_Q687,100,80,False,True,1,[' 30 + 60 - 10 = 100'],False
test_GSM8K_Q718,5,5,True,False,0,[],False
test_GSM8K_Q777,800,800,True,False,0,[],False
test_GSM8K_Q795,32,32,True,False,3,"[' 12*1 = 12', ' (12*0.5) = 6', ' 12 + 6 + 14 = 32']",False
test_GSM8K_Q816,5,4,False,True,2,"['\n10 - 2x = 2', '\nx = 5']",False
test_GSM8K_Q863,80,40,False,True,2,"[' 2*2 = 4', ' = 32']",False
test_GSM8K_Q874,12,12,True,False,0,[],False
test_GSM8K_Q885,50,50,True,False,3,"[' 200 - 40 = 160', ' 160 - 80 = 80', ' 80 - 30 = 50']",False
test_GSM8K_Q904,8,16,False,True,3,"[' 20/4 = 5', ' 8/3 = 2.67', ' 5 + 2.67 = 7.67']",False
test_GSM8K_Q920,20,90,False,False,0,[],False
test_GSM8K_Q997,16,3,False,True,5,"['\nx + 2x + (4 + 3) = 20', '\n3x + 7 = 20', '\nx = 13']",False
test_GSM8K_Q1005,8,8,True,True,5,"[' = 64', ' - 56 = 8', 'x = 4']",True
test_GSM8K_Q1016,320,78,False,True,4,"[' 15 - 2 = 13', ' 13*60 = 780', ' 5*8 = 40']",False
test_GSM8K_Q1025,60,300,False,False,0,[],False
test_GSM8K_Q1029,1000,200,False,False,0,[],False
test_GSM8K_Q1032,66,5,False,True,3,"[' 6000 - 950 - 300 = 4150', ' (4150 / 300 = 138.33', ' 2*138.33 = 276.66']",False
test_GSM8K_Q1037,5,10,False,True,1,[' = 5'],False
test_GSM8K_Q1044,690000,130000,False,True,3,"[' 26*5 = 130', ' 1000*130 = 130,000', ' 130,000 + 130,000 + ... + 130,000 = 690,000']",False
test_GSM8K_Q1050,5,20,False,False,3,"[' 50/2 = 25', ' 25 - 2.5 = 22.5', ' 22.5 + 20 = 42.5']",False
test_GSM8K_Q1077,162,162,True,False,0,[],False
test_GSM8K_Q1091,72,72,True,False,3,"[' 72 + 2 = 74', ' 74 - 5 = 69', ' 69 + 3 = 72']",False
test_GSM8K_Q1101,75,5,False,True,6,"[' = 0.5', ' = 0.25', ' = 0.5']",False
test_GSM8K_Q1106,10,40,False,True,1,"['20,000 = 10']",False
test_GSM8K_Q1117,60,60,True,True,3,"['\nx + (0.2 x)\n= 50', ' + (0.2 x)\n= 50', ' + 10\n= 60']",True
test_GSM8K_Q1148,22,22,True,False,4,"[' 45/5 = 9', ' 36/6 = 6', ' 49/7 = 7']",False
test_GSM8K_Q1149,9,9,True,True,1,[' 4.\n\n36 ÷ 4 = 9'],True
test_GSM8K_Q1164,2,12,False,True,2,"[' (3*2 = 6', ', 6 / 2 = 3']",False
test_GSM8K_Q1178,7,17,False,False,3,"[' 12/3 = 4', ' 12/4 = 3', ' 4 + 3 = 7']",False
test_GSM8K_Q1186,7,6,False,False,4,"[' 6*6 = 36', ' 4*6 = 24', ' 36 + 24 = 60']",False
test_GSM8K_Q1195,75,1200,False,True,3,"[' x 3 = 120', ') = 7.5', ' / 10 = 0.75']",False
test_GSM8K_Q1207,40000,40000,True,False,0,[],False
test_GSM8K_Q1244,90,50,False,False,0,[],False
test_GSM8K_Q1309,50,30,False,True,5,"[' 10 + 20 = 30', ' = 50', ' 2*2 = 4']",False
train_GSM8K_Q20,200,16,False,False,3,"[' 40/25 = 1.6', ' 5*1.6 = 8', ' 40*5 = 200']",False
train_GSM8K_Q54,36,36,True,True,2,"[' = 10', ' = 4']",True
train_GSM8K_Q89,258,258,True,False,2,"[' 86*2 = 172', ' 86 + 172 = 258']",False
train_GSM8K_Q202,7,10,False,True,2,"['\n7 + 7 + 21 + 21 + 42 + 21 + 21 = 197', ' = 27']",False
train_GSM8K_Q242,12,12,True,False,3,"[' 72 / 2 = 36', ' 72 / 3 = 24', ' 72 - 36 - 24 = 12']",False
train_GSM8K_Q255,30,30,True,True,4,"[' 15*10 = 150', ' 20*9 = 180', ' 150 + 180 = 330']",True
train_GSM8K_Q303,7,7,True,False,2,"[' 2*1.5 = 3', ' 3 + 1.5 + 3 = 7.5']",False
train_GSM8K_Q353,42,42,True,True,2,"[' 60*7 = 420', ' = 42']",True
train_GSM8K_Q370,347,347,True,False,0,[],False
train_GSM8K_Q382,75,75,True,False,4,"[' 450/2 = 225', ' 300 - 225 = 75', ' 450/2 = 225']",False
train_GSM8K_Q409,548,52,False,False,3,"[' 3*140 = 420', ' 2*64 = 128', ' 420 + 128 = 548']",False
train_GSM8K_Q416,78,78,True,True,4,"[' x 2 = 12', ' x 2 = 24', ' x 2 = 48']",True
train_GSM8K_Q430,1104,736,False,False,2,"['\n2300*0.8 = 1840', '\n1840*0.6 = 1104']",False
train_GSM8K_Q439,12,12,True,True,2,"[' = 14', ' = 12']",True
train_GSM8K_Q462,20200,250,False,True,1,[' = 4000'],False
train_GSM8K_Q467,60,80,False,True,4,"[' = 40', ' = 40', ' = 60']",False
train_GSM8K_Q473,11,11,True,True,2,"[' (7 + 4 = 11', ' (7 + 4 = 11']",True
train_GSM8K_Q477,92,92,True,True,2,"[' = 3', ' = 2']",True
train_GSM8K_Q487,8,4,False,False,1,[' 9 / 5 = 1.8'],False
train_GSM8K_Q490,84,12,False,True,2,"[' x/13 = 8', ' x/13 - 4 = 23']",False
train_GSM8K_Q504,20,20,True,True,10,"[' = 20', ' = 140', ' = 280']",True
train_GSM8K_Q531,3,18,False,True,6,"[' 7/7 = 1', ', 7/7 = 1', ' 7/7 = 1']",False
train_GSM8K_Q533,88,132,False,False,4,"[' 5*12 = 60', ' 2*12 = 24', ' 48 / 12 = 4']",False
train_GSM8K_Q539,15,3450,False,False,0,[],False
